question,answer
How can viroids be controlled?,"Viroids can be controlled through the use of resistant rootstocks, grafting, and pruning."
Can viroids be used in genetic engineering?,"Yes, viroids have been used in genetic engineering to develop resistant citrus plants."
What is the impact of viroids on citrus production?,"Viroids can have a significant impact on citrus production, causing losses in yield and quality."
How can I prevent the spread of viroids in citrus plants?,"You can prevent the spread of viroids in citrus plants by using resistant rootstocks, grafting, and pruning, and by avoiding mechanical transmission through pruning or grafting."
What is Citrus viroid VI?,Citrus viroid VI is a species in the Apscaviroid genus that produces mild symptoms in Etrog citron.
What are the symptoms of Citrus tatterleaf virus?,"Citrus tatterleaf virus causes stunting or dwarfing, necrosis at the bud union, and virus-induced bud union incompatibility on scions grafted onto certain rootstocks."
How is Citrus tatterleaf virus transmitted?,The major method of transmission is by using infected propagation materials.
How old is a citrus tree usually when symptoms of Citrus tatterleaf virus appear?,Symptoms often appear when the tree is 3-7 years old.
What is the main method of controlling Citrus tatterleaf virus?,"The main method of control is by using quarantine, clean stock, and certification programs."
What is Citrus leaf blotch?,Citrus leaf blotch is a viral disease caused by the Citrus leaf blotch virus (CLBV).
What is the size of the CLBV virions?,CLBV virions are filamentous and approximately 960-14 nm in size.
Is CLBV seed-transmitted?,"Yes, CLBV is seed-transmitted."
Are there any known vectors for CLBV?,"No, there are no known vectors for CLBV."
What is the host range of CLBV?,"The host range of CLBV is not fully known, but it has been reported in various citrus varieties."
What is Measles disease?,Measles is a disease that causes pale yellow spots on leaves as they mature.
What are the symptoms of Measles disease?,"The symptoms of Measles disease include pale yellow spots on leaves, smaller tree size, and droopy branches."
Is Measles disease usually widespread in a grove?,"No, usually only a few trees in a grove will show symptoms of Measles disease."
How do farmers usually detect Measles disease?,Farmers usually detect Measles disease by visual inspection of the tree's leaves and appearance.
Can Measles disease be controlled?,"The text does not mention specific methods for controlling Measles disease, but general disease management practices may be effective."
What is the Apscaviroid genus?,The Apscaviroid genus includes Citrus viroid VI and other related viroids.
What is the family of the CLBV virus?,The family of the CLBV virus is Flexiviridae.
What is the size of the CLBV genomic RNA?,The CLBV genomic RNA is 8747 nt in size.
What is the relationship between CLBV and DMV?,"CLBV and DMV are very similar viruses, with 96% homology."
What is the purpose of quarantine and certification programs in controlling Citrus tatterleaf virus?,The purpose of quarantine and certification programs is to prevent the spread of Citrus tatterleaf virus by ensuring that propagation materials are free from the virus.
What is measles disease in citrus plants?,Measles disease is a graft transmissible disease that causes symptoms to continue showing up year after year in citrus groves.
How does measles disease spread?,"Measles disease spreads slowly through a natural process, but can also be transmitted through grafting."
What is yellow vein disease in citrus plants?,Yellow vein is a graft transmissible disease that causes yellow veins to appear on the leaves and irregular yellow blotches on the fruit.
Which citrus plants are most affected by yellow vein disease?,Limes and lemons are the most susceptible to yellow vein disease.
Can citrus plants recover from yellow vein disease?,"Many citrus plants can recover from yellow vein disease, but may still show symptoms on new flushes."
What is Citrus leprosis?,Citrus leprosis is a viral disease that is spread by flat mites and causes symptoms such as leaf curl and stunted growth.
What is the primary vector of Citrus leprosis?,The primary vector of Citrus leprosis is the Brevipalpus species of mites.
Can Citrus leprosis be transmitted through grafting?,"No, Citrus leprosis is not transmitted through grafting."
Are there different types of Citrus leprosis viruses?,"Yes, there are two types of Citrus leprosis viruses: cytoplasmic and nuclear."
What is the cytoplasmic type of Citrus leprosis virus?,The cytoplasmic type of Citrus leprosis virus (CiLV-C) is limited to the cytoplasm and has membrane-bound bacilliform virions.
What is the genome of the cytoplasmic type of Citrus leprosis virus?,"The genome of CiLV-C is a bipartite, single-stranded, positive-sense RNA with RNA1 having 8729 nts and RNA2 having 4969 nts."
Can citrus plants recover from Citrus leprosis?,"No, citrus plants do not recover from Citrus leprosis."
Has Citrus leprosis been reported in other countries?,"Yes, Citrus leprosis has been reported in South America, Central America, and Mexico."
Is Citrus leprosis a new disease?,"No, Citrus leprosis has been reported since the 1950s."
What is the most common symptom of Citrus leprosis?,The most common symptom of Citrus leprosis is leaf curl.
Can citrus plants be tested for Citrus leprosis?,"Yes, citrus plants can be tested for Citrus leprosis using serological and RT-PCR tests."
How can citrus farmers control Citrus leprosis?,"Citrus farmers can control Citrus leprosis by using integrated pest management practices, such as introducing natural predators of the flat mites."
Are there any resistant varieties of citrus plants to Citrus leprosis?,"No, there are no resistant varieties of citrus plants to Citrus leprosis."
Can Citrus leprosis be transmitted through seedlings?,"No, Citrus leprosis is not transmitted through seedlings."
What is the ideal temperature for growing sour orange seedlings to test for measles disease?,The ideal temperature for growing sour orange seedlings to test for measles disease is 20-27°C.
Can measles disease be transmitted in a greenhouse?,"Yes, measles disease can be transmitted in a greenhouse."
What is the purpose of using sour orange seedlings to test for measles disease?,The purpose of using sour orange seedlings to test for measles disease is to detect the disease early and take control measures.
What is the main difference between measles disease and yellow vein disease?,"The main difference between measles disease and yellow vein disease is that measles disease is a graft transmissible disease, while yellow vein disease is also graft transmissible, but has different symptoms."
What is CiLV-C2?,CiLV-C2 is a variant of citrus infectious variegation virus.
How long are the RNA1 and RNA2 of CiLV-C2?,"RNA1 is 8717 nts, and RNA2 is 4989 nts."
What is the homology of CiLV-C2 with CiLV-C?,"RNA1 has 58% homology, and RNA2 has 50% homology with CiLV-C."
